TV_Spend,Radio_Spend,Newspaper_Spend,Online_Spend,Sales
1565.94,979.67,264.32,1429.61,288.71
3000.62,1173.33,621.93,2879.48,395.69
2461.59,722.49,690.23,1478.47,283.26
1768.52,1821.12,828.58,870.26,311.39
1902.42,701.43,735.34,2962.65,342.23
2855.42,200.68,752.74,1349.22,259.95
4967.58,1579.41,667.68,292.57,437.32
858.11,957.49,979.4,520.35,183.82
3187.5,1599.26,368.4,1736.21,367.78
4184.3,531.87,239.21,1477.8,343.65
,713.43,380.4,2475.94,303.6
1111.79,1483.35,456.61,2589.38,349.49
,573.26,147.91,2874.39,322.03
3540.71,362.77,135.9,736.09,249.75
4701.52,,573.47,879.65,361.22
1267.98,961.86,572.79,190.92,183.84
4601.42,1306.88,315.53,1341.41,465.49
2609.14,1339.06,611.23,738.82,270.18
986.64,328.74,500.06,1321.21,159.08
1664.7,1602.27,670.58,173.81,238.01
1347.64,1187.55,409.65,906.96,278.05
962.58,,172.17,1174.1,781.108770089614
4239.95,1479.39,156.63,1488.76,391.6
2009.32,1048.63,302.7,1677.17,312.33
1120.63,390.83,850.76,463.81,206.48
2012.95,876.67,81.72,1837.39,1310.59827556603
1618.56,1402.22,,1515.23,258.18
3317.09,1690.07,695.7,279.98,354.79
917.01,1336.57,807.1,2231.74,276.8
2753.26,672.97,888.1,540.41,292.64
3323.3,1718.6,536.85,1337.95,339.25
757.63,342.49,684.09,2362.99,303.41
3875.06,,470.23,1998.5,415.27
4548.45,213.7,79.06,262.42,291.04
1048.29,357.76,430.26,2514.61,268.53
,1053.22,840.52,2700.29,364.53
2376.93,1674.06,825.96,546.15,278.42
4622.81,1089.58,341.87,1629.39,470.29
524.88,338.12,135.69,190.95,66.54
3636.68,1574.7,62.93,2381.41,471.24
541.49,250.07,386.33,1781.34,203.61
4101.93,120.62,727.4,549.14,321.8
4417.52,577.32,145.08,1922.86,417.92
,1991.21,439.02,2216.84,519.92
1314.97,,183.66,2121.25,314.78
1089.25,1151.62,411.22,730.45,248.9
1628.19,1657.9,200.64,1168.07,276.61
3866.55,,80.44,1379.8,372.62
773.63,251.97,,2212.81,220.53
1128.32,333.0,559.58,1677.67,251.46
2047.78,316.73,579.97,1800.01,283.44
1744.98,729.16,443.25,2917.54,351.17
3536.13,1939.18,589.95,1201.06,405.91
813.59,1872.56,611.38,1984.81,256.28
3622.57,837.08,902.57,186.64,347.99
4951.55,1609.77,190.13,171.7,406.1
2739.67,1847.18,914.61,1789.27,417.38
4620.41,288.03,208.34,1942.11,375.57
1441.19,511.28,194.37,1619.3,203.76
4605.89,1654.28,482.19,2869.88,498.62
2732.6,1343.65,73.55,2129.52,419.78
2299.29,1307.53,677.2,1031.81,1383.1745040219687
2229.75,1971.97,560.51,552.5,261.35
1538.73,1515.55,488.32,2465.67,382.03
,916.55,379.22,1922.11,328.37
4357.0,1182.39,297.02,2066.53,402.9
3489.08,209.57,323.64,466.59,313.82
1760.58,1349.26,993.27,,358.6
1992.13,178.51,376.62,2890.83,295.84
880.26,1262.24,842.24,1566.02,307.41
4353.85,1667.25,850.57,2394.07,521.6
,896.04,706.03,559.63,282.69
2054.9,1871.7,993.62,1233.56,289.05
2325.47,183.2,285.38,2838.48,346.24
1281.74,303.84,345.5,1880.29,293.64
579.37,1891.2,818.39,567.04,202.33
2990.65,,794.99,,422.98
4009.62,789.0,793.64,116.71,284.82
3485.17,1358.13,708.36,2273.92,437.49
1384.01,123.22,788.8,969.76,239.74
1920.53,965.98,,626.86,297.55
1915.57,1532.98,727.79,1279.52,280.34
1836.99,1449.63,992.76,1336.07,279.68
4847.63,1256.45,908.86,1348.56,479.7
3758.9,1819.48,304.83,2626.82,471.75
3566.37,1143.86,86.74,1266.27,390.82
1393.06,1898.69,82.43,1469.91,240.25
1505.88,956.69,761.63,2093.69,329.94
4955.12,1058.07,659.85,2515.37,503.02
2348.8,1192.02,748.4,400.81,267.69
,208.08,951.94,,195.57
2041.5,1019.14,633.26,734.69,212.55
1396.42,1048.3,362.49,969.27,277.32
2224.33,1360.69,446.88,1605.19,293.18
4991.37,730.04,606.35,988.87,452.07
4071.08,667.14,498.85,189.74,1077.8748375105095
4934.5,303.05,562.01,204.66,303.67
4936.05,579.41,947.21,1262.16,406.73
1198.85,935.0,654.65,1573.08,305.09
4415.89,395.43,595.37,2664.47,415.58
1204.34,1108.04,,837.89,215.5
4681.02,1071.8,784.49,2643.85,494.9
2109.99,700.35,535.96,418.2,186.7
1534.33,1009.59,305.2,1162.78,226.81
602.76,1990.44,492.14,2853.72,344.64
3019.44,,382.77,728.91,332.04
1417.03,,781.14,2634.12,300.51
923.79,1887.29,595.41,1950.01,314.42
3476.18,361.42,997.34,862.78,339.91
4685.67,825.21,82.38,860.83,417.43
3645.97,,173.55,543.43,289.98
4590.52,1201.31,550.85,1464.72,453.5
4777.88,636.21,683.56,112.32,372.75
3715.99,,187.95,2662.9,1683.2321025206531
4921.71,637.0,333.8,951.4,429.78
3203.46,1688.95,490.39,2130.73,410.4
3297.14,,308.6,784.52,323.89
2720.33,262.67,752.04,1390.59,319.41
1245.87,883.85,956.26,1235.44,261.11
3984.24,286.89,282.44,808.89,336.23
2186.38,353.4,571.33,2033.99,282.98
4291.49,1742.63,874.08,,480.95
3239.66,875.03,818.4,232.57,320.35
3750.63,766.32,475.83,2925.61,408.57
,1854.2,166.01,1738.28,413.9
4495.23,395.51,95.44,523.46,304.29
3201.37,1967.68,703.68,622.38,381.87
3957.85,749.31,375.3,225.18,328.52
1804.88,404.17,134.93,1554.75,225.08
4633.49,1232.42,322.57,2937.37,490.51
4850.82,,859.68,198.45,381.76
1028.66,112.79,113.86,1753.5,198.9
1874.7,257.68,416.41,644.07,241.76
1995.17,1527.12,286.95,375.13,241.9
4096.57,1506.76,811.64,1670.47,425.07
1344.99,534.2,747.42,2357.5,274.47
1438.52,837.23,509.12,1162.4,195.56
3063.95,1889.98,167.12,1834.18,425.36
930.28,1788.3,199.38,424.4,153.57
1511.27,449.56,691.44,,268.46
2851.17,1740.14,198.36,2206.92,354.2
533.72,1836.96,,635.46,168.35
1392.12,676.84,660.32,2349.85,292.71
4330.96,1542.03,261.9,,368.96
3201.41,447.13,342.29,2721.82,423.11
1284.92,158.78,373.68,1666.46,231.49
3420.07,476.65,563.8,1262.19,332.53
3089.29,105.7,283.1,1826.11,295.85
3593.57,1444.8,811.96,1912.06,468.4
4964.68,1062.46,204.08,1295.07,469.96
4650.7,1958.34,147.1,1974.03,497.55
4401.75,158.12,943.53,2747.03,436.36
1584.33,1854.07,995.79,2629.17,360.16
2338.71,911.14,893.43,,436.53
3440.55,143.85,780.1,155.81,237.22
502.57,607.64,173.23,1661.95,201.06
1762.85,1654.16,386.04,808.96,282.44
4862.28,1844.92,71.14,2191.73,459.1
3478.08,1664.74,145.71,649.22,290.98
1702.64,1553.05,961.04,2432.55,419.15
4558.17,599.19,517.3,887.56,401.26
3431.56,1522.94,629.5,178.45,307.66
4557.87,843.87,164.52,1646.17,418.44
1155.08,833.07,957.16,2202.93,318.43
3390.68,718.5,254.44,106.41,243.5
1168.06,747.05,451.24,967.47,216.56
2175.19,1659.8,343.2,1151.42,318.65
1071.35,393.35,434.72,1169.58,203.63
,,727.81,2676.13,422.05
694.5,329.78,714.69,1378.17,229.28
4539.47,341.03,358.75,778.8,378.7
1821.43,799.48,340.95,2768.58,346.05
1014.0,1583.99,430.35,2621.13,384.14
3848.01,1177.7,782.71,2212.93,441.78
1671.8,1429.4,414.24,1224.35,278.39
4750.44,170.5,470.68,1969.53,401.56
2619.08,,497.23,2823.34,352.32
4903.46,,59.93,,413.64
2644.4,1882.46,940.6,766.21,356.67
906.8,1576.97,983.51,1212.18,229.75
4163.35,,71.23,2198.02,417.93
1962.89,1212.94,737.16,144.28,196.43
2836.05,236.06,893.2,229.43,245.9
1105.99,1222.6,485.15,2286.37,349.96
,1748.66,636.77,102.38,366.71
3716.28,415.24,75.28,2017.75,355.47
2318.86,1043.0,700.91,600.77,298.46
3907.89,1300.66,81.73,304.79,308.88
657.75,1287.36,296.49,937.3,234.92
3429.54,943.47,125.11,,393.75
2065.36,1528.15,458.24,1700.53,345.2
2631.88,937.57,889.71,1886.08,352.09
,533.09,,1761.56,487.82
3080.54,489.61,942.11,1661.15,320.41
,204.15,973.11,940.79,340.29
3879.57,224.85,,1462.61,301.65
804.99,587.93,443.93,1707.32,234.52
745.15,494.91,928.3,2027.63,232.98
4565.88,697.23,160.61,,386.9
3029.22,1890.09,527.28,928.16,331.85
2310.85,1669.4,136.21,2746.41,382.22
3958.07,288.3,733.85,259.92,1334.858078694919
1721.71,1577.24,201.48,167.81,264.24
1224.06,1304.0,990.27,1375.98,258.24
1462.17,450.05,402.42,943.35,249.66
2604.99,1616.31,135.48,700.85,251.49
1512.99,1260.88,67.1,1763.03,280.32
2530.23,1074.9,811.01,2646.24,378.02
1902.18,,927.41,1795.81,270.33
1954.08,508.77,497.1,466.0,195.42
2575.9,1697.68,286.64,2981.76,436.83
2829.62,1041.0,390.59,824.24,319.79
2106.76,454.43,320.19,703.01,204.64
4988.06,1377.85,203.03,422.24,370.46
4799.13,123.3,116.85,1894.44,396.74
4120.91,1622.66,187.12,2171.38,495.05
1548.86,771.72,96.54,2869.56,339.85
4769.91,864.3,621.03,2378.3,481.46
1674.18,1233.27,507.44,1109.44,253.92
3530.35,1120.42,935.66,362.96,314.23
548.22,544.12,128.01,1444.87,186.47
2295.92,946.29,495.77,649.39,276.31
,952.39,438.31,1960.21,394.31
4628.06,672.91,,2757.63,461.46
946.48,781.44,667.58,804.37,164.84
2739.86,964.13,,841.72,335.53
749.94,162.39,807.24,2381.5,251.28
1529.55,384.95,254.71,672.78,140.93
3382.44,113.09,652.36,2340.23,403.44
2088.82,271.83,302.18,544.1,217.63
4456.42,406.7,277.22,691.34,365.13
4675.02,275.35,220.34,1735.04,430.64
4211.37,650.74,546.21,290.72,288.39
2914.09,155.96,673.96,2275.77,397.28
1627.0,1153.22,481.29,190.57,241.68
4528.42,1007.11,924.45,733.95,407.55
2593.41,1824.63,122.53,2247.77,381.8
4728.59,308.76,271.97,2628.13,436.46
3849.32,895.18,626.03,1126.2,345.48
4609.89,1030.33,401.67,531.85,386.46
4226.25,,650.64,1621.58,439.04
534.33,1054.34,593.73,235.71,136.89
2430.64,1209.58,814.19,2817.18,440.39
3377.14,269.47,165.43,1117.39,292.24
2420.62,240.58,288.16,2942.52,362.0
3872.54,1567.43,691.57,2067.05,469.76
4761.12,1141.27,299.08,,363.81
3710.31,1721.93,393.22,2283.12,409.44
4340.43,181.73,53.31,295.19,299.59
2763.3,1850.79,494.49,1865.66,404.45
4759.35,1221.93,596.45,1586.52,436.42
525.94,895.03,924.88,2054.26,251.28
2266.91,314.92,890.84,,218.22
4351.6,1930.8,315.85,2917.78,569.45
633.66,383.63,555.44,2917.56,324.15
3472.39,400.74,540.16,,304.99
4135.15,716.58,319.43,1937.51,445.19
1795.8,1366.79,878.51,2589.38,420.01
1419.51,942.72,,476.54,141.58
4660.62,607.92,229.33,2709.4,441.52
563.89,1509.51,599.98,1561.48,228.11
4694.33,1638.06,913.29,1162.24,452.23
4261.31,357.38,434.69,2067.46,438.71
797.89,651.06,766.27,542.93,148.13
,1560.48,160.39,639.09,348.54
3416.39,463.54,162.94,1981.09,378.23
4162.99,,640.74,2265.7,491.82
786.72,1133.93,670.94,2877.95,369.89
4421.73,142.07,617.61,462.78,316.51
3582.19,1153.68,233.35,746.24,297.41
4330.43,193.88,111.29,2616.46,459.61
986.25,1033.14,898.32,1171.07,189.88
1944.07,1741.44,163.31,570.43,260.33
2615.85,674.8,809.81,2488.4,366.59
961.88,805.83,161.14,709.78,130.65
2623.63,341.45,814.91,566.99,287.59
1485.97,1358.17,194.37,1267.83,308.71
4500.12,1356.79,995.43,2568.16,472.13
1631.62,1278.26,81.26,2649.81,315.91
2735.66,1322.42,964.68,477.47,306.86
3941.52,300.83,464.27,1895.2,385.34
1816.36,1584.95,312.77,1622.04,292.5
2653.3,279.06,,2602.02,374.35
589.78,507.0,780.56,1846.1,244.45
1833.86,1444.61,822.39,2064.42,355.67
2648.79,926.87,973.14,2667.18,382.96
4646.95,634.49,832.75,284.16,353.29
3865.9,1459.65,,614.16,392.16
770.34,,589.46,2340.38,307.88
4933.2,1751.43,696.83,350.99,417.54
1685.2,598.36,243.63,2991.75,304.28
554.9,148.13,683.82,2688.99,284.33
3035.59,1781.36,244.92,1865.93,441.42
2834.54,387.17,337.19,982.22,249.89
4229.06,1826.56,,2823.0,495.78
3332.29,766.83,384.33,993.09,319.19
1790.04,1746.37,422.24,645.59,224.03
3967.42,1307.65,52.22,2071.55,378.78
1094.37,608.47,172.7,,171.55
,726.06,692.66,1857.0,447.67
,988.89,672.79,1361.27,342.14
2707.0,1009.85,801.99,1999.16,338.52
2008.7,1401.1,951.25,512.69,303.07
2894.62,1307.25,653.35,1842.85,357.96
3301.38,1069.79,736.2,1801.03,408.19
,928.02,97.02,1328.37,412.5
2682.23,1120.09,954.95,2705.81,457.54
,1898.33,661.23,2502.96,445.4
3908.01,1369.04,,2302.09,461.62
4450.17,570.9,240.86,1827.88,401.79
1310.66,1310.16,906.99,447.69,211.52
4648.52,299.95,169.34,,306.49
4854.87,964.67,75.4,162.05,330.86
1978.06,591.42,860.22,2428.61,367.33
4798.85,1542.99,342.63,1217.39,458.99
4872.21,1332.25,970.66,1473.51,501.61
2413.19,1450.3,905.85,711.47,290.48
2793.69,1156.98,649.74,268.71,260.06
1556.36,1318.83,515.39,2316.78,297.61
2725.2,1803.11,465.07,671.26,311.62
3842.77,547.52,454.71,1861.28,364.62
2802.45,298.31,163.49,2759.82,381.92
1907.01,815.06,,834.24,277.04
4274.19,1524.08,421.66,1137.13,414.7
4950.19,979.26,,1067.63,370.05
3297.89,1149.07,288.11,1770.28,370.92
4529.28,1932.19,481.8,1875.2,449.49
1774.36,1276.72,556.67,1408.71,320.62
552.01,634.76,553.21,1802.08,247.6
3938.02,1414.75,279.51,239.35,365.79
3052.84,1642.54,901.86,2275.22,407.39
4513.66,325.93,582.48,1745.96,437.43
4254.02,1175.33,,1260.53,355.22
3000.03,1079.76,564.85,314.6,240.42
4998.25,565.12,221.56,231.15,375.79
1165.25,1136.66,64.39,412.66,145.35
3334.28,1155.38,370.02,,333.46
4672.3,1373.82,757.51,2829.69,553.45
577.85,1670.34,529.2,2898.31,300.9
906.09,1083.52,811.64,1222.89,252.62
4413.58,1743.58,604.64,2508.3,537.27
4275.61,1037.95,372.35,1919.55,468.86
4329.04,454.66,125.11,1805.88,375.28
,1510.59,423.13,1796.17,273.42
3877.09,1803.26,335.14,1588.01,447.11
2073.11,1700.97,439.1,2195.89,413.27
2509.92,1913.95,881.89,824.84,308.36
2954.47,756.94,51.05,591.23,304.63
4932.08,317.48,950.04,119.98,320.57
3211.98,1516.47,276.88,1240.83,322.57
1770.58,195.14,873.28,,141.92
3851.48,1020.75,529.76,,423.47
4132.5,929.11,269.78,278.91,274.96
1578.24,104.94,423.8,2050.98,297.58
1799.88,332.94,720.2,2870.99,374.55
3305.87,1835.45,873.24,2638.69,450.88
2631.58,560.03,222.18,2253.7,325.35
4811.82,1555.27,268.88,2267.49,533.35
4047.6,1445.83,379.77,2729.82,503.84
4893.8,850.53,112.49,2064.47,418.55
3133.92,422.0,471.92,1275.06,273.91
,1080.63,786.05,1498.09,1173.6949644416982
3317.42,1070.72,847.4,1306.13,336.15
1058.47,840.65,306.73,1800.98,211.14
4412.08,1739.34,560.92,2600.93,547.43
1363.44,125.41,223.3,1730.49,245.88
832.7,1249.2,483.24,441.34,134.26
1671.11,262.81,526.94,1415.66,284.03
3637.47,1482.68,,738.58,361.19
4967.44,1753.34,,1950.87,483.11
4542.55,812.46,650.39,1930.62,405.35
1386.89,1082.64,694.98,934.98,255.97
1808.78,244.05,831.35,2384.33,334.43
4156.57,1543.12,103.47,,356.1
2668.98,929.97,649.08,670.23,322.65
1805.45,,865.6,2658.86,329.77
4139.59,1474.76,436.67,1311.23,410.35
4333.13,1366.76,160.18,2019.91,453.16
4190.89,1447.68,287.27,2628.64,533.37
1514.02,1535.2,428.02,585.44,217.48
1013.53,962.18,75.53,1082.66,176.61
670.51,1657.82,865.06,2309.67,337.56
863.65,620.83,274.69,1387.47,207.73
2748.07,1925.19,603.03,1722.38,369.06
2535.96,1803.32,827.2,1928.76,357.11
3294.99,348.65,859.59,2779.78,380.09
4458.1,,908.67,2075.56,467.62
1135.95,424.63,896.56,2187.48,233.82
1386.96,1999.86,594.74,278.37,186.57
4297.21,491.69,961.84,,376.01
2026.22,493.87,877.68,2588.34,400.2
1495.43,1821.94,261.65,1180.4,319.88
1664.41,519.51,707.93,303.66,223.19
4331.0,394.39,185.63,816.08,312.02
2194.0,1543.05,697.95,2696.11,362.02
,164.78,393.8,2785.92,286.72
1128.16,1851.0,330.32,1244.05,244.34
3448.32,999.14,942.45,597.05,285.04
2724.11,1847.17,365.47,2439.02,422.24
2322.16,148.07,247.77,2558.14,370.35
2263.44,120.64,654.65,,213.62
2018.85,979.48,,2518.31,316.08
3718.11,330.05,981.3,2000.17,393.89
1587.39,1730.59,348.98,2661.86,413.67
1689.41,644.66,920.03,1031.42,248.05
4305.48,787.71,623.61,2876.76,485.91
,307.01,431.43,120.67,189.02
3392.33,,155.34,503.81,306.62
4221.06,407.91,,,412.23
4080.69,1292.96,468.83,863.26,398.2
3341.65,846.98,364.11,1537.79,375.74
1128.63,1159.84,802.84,1510.56,232.59
2724.11,1847.17,365.47,2439.02,422.24
4468.86,1978.39,500.43,2600.95,543.68
1671.8,1429.4,414.24,1224.35,278.39
1538.73,1515.55,488.32,2465.67,382.03
,713.43,380.4,2475.94,303.6
3420.07,476.65,563.8,1262.19,332.53
3317.42,1070.72,847.4,1306.13,336.15
4777.88,636.21,683.56,112.32,372.75
1485.97,1358.17,194.37,1267.83,1254.4797024990362
